id,mean_rsquared,confidence_bottom,confidence_top
100,0.151293684,0.093979902,0.208607466
500,0.278562014,0.253501724,0.303622304
1000,0.497569311,0.473091082,0.52204754
2000,0.653903022,0.637825597,0.669980447
5000,0.998251976,0.997185654,0.999318298
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
5000,0.9974252298774877,0.9971602508926821,0.9976902088622933
