id,rsquared
0,0.1245443997569702
1,0.17885208980265463
2,0.5459405287271182
3,0.722288112506243
4,0.7489473704665913
5,0.3817240343681612
6,0.787655744287842
7,0.7169380119441131
8,0.2626522745566254
9,0.6707209371572226
10,0.3244937682019707
11,0.6540651150900929
12,0.7284012857747322
13,0.7665751902885876
14,0.8513070965118211
15,0.9991988902996083
16,0.892317992079297
17,1.0
18,0.9454900748010814
19,0.9553691867829794
20,0.9351236417182898
21,0.9986304127862556
22,0.997344482588194
23,1.0
24,0.9945925403215945
25,1.0
26,0.9967474645026775
27,1.0
28,0.8887509481434253
29,0.9438441476005266
