id,rsquared
0,0.26799107601877276
1,0.06049373909510862
2,0.40745161112633205
3,0.546793475990796
4,0.9465899844001792
5,0.999302868124905
6,0.8723272062888645
7,0.3202244916976802
8,0.7642095890166393
9,0.97042667635132
10,0.925786000904589
11,0.7218199187741589
12,0.5977452284344851
13,0.24348169845296552
14,0.3762032085561497
15,0.8823618264143114
16,0.9630851580619102
17,0.85208684750072
18,0.9926024831899565
19,1.0
20,0.9991346490339093
21,0.9577164009111622
22,0.9991696665549298
23,0.9882083020317258
24,1.0
25,0.9991056474848425
26,0.962472528596271
27,0.9577579366607861
28,1.0
29,0.9843686434096983
