id,rsquared
0,0.028636890424375817
1,0.2094209889371994
2,0.21032067139547594
3,0.25411829948104125
4,0.21449327197861842
5,0.08033811766086925
6,0.5033580444571899
7,0.25747688540769625
8,0.37448063360600725
9,0.19405071842199456
10,0.25809290208142804
11,0.23824731039374783
12,0.15056697617490458
13,0.4629441298320363
14,0.39725229656244343
15,0.34634110501156457
16,0.4110143397554324
17,0.20822315438507447
18,0.26320289312938183
19,0.10120072785267717
20,0.5639666811928317
21,0.4729109618703071
22,0.21397068247510434
23,0.1320585719317667
24,0.1880514374174921
25,0.7498355208663673
26,0.5783010911447727
27,0.168762278848591
28,0.25608143442909626
29,0.5153809107444276
