id,rsquared
0,0.06832202652917574
1,0.19011313573890024
2,0.017487280689581632
3,0.05090204731398517
4,0.07366936306165457
5,0.008506189531603443
6,0.1207954828325066
7,0.7061184920063363
8,0.0002925709094360838
9,0.16165169487828837
10,0.3007782750703157
11,0.33113603224229926
12,0.22648834537899623
13,0.5565440844429864
14,0.2407190887783334
15,0.042815637062988826
16,0.27077256438036484
17,0.2169812425995105
18,0.3397587255094124
19,0.08543921148408641
20,0.4781333075121916
21,0.38508845744655235
22,0.6020625281715167
23,0.5713648112144296
24,0.6092543777066466
25,0.7316247582205028
26,0.3165762906496316
27,0.03909680341492519
28,0.47627802203605446
29,0.17570454537610455
